freq,r_insample,r_loso,r_amplitude,p_uncorrected,p_fwe,null95
0.05,0.42510762658956275,0.03539047390079406,-0.17583445318231222,0.2405,0.9985,0.34540057428859694
0.055,0.49367721159253186,0.16246235635039566,-0.32410183096601,0.136,0.961,0.3518976596536429
0.06,0.5294028322010516,0.22461880890042296,-0.3442417907711191,0.1065,0.91,0.34770866350503987
0.065,0.5151676252282329,0.026587130536367357,-0.2650313540256967,0.258,0.999,0.33149007209503456
0.07,0.514363201069478,-0.04467285293994095,-0.08234636539169166,0.3225,1.0,0.33649580509303206
0.075,0.5600897195108276,0.09469391180281961,0.22201033465852313,0.1985,0.987,0.3233717710491025
0.08,0.5904459193789131,0.1770565528799414,0.524446713059506,0.127,0.954,0.32242981217655015
0.085,0.4579947092057024,0.024240135955642554,0.5424855289389829,0.2565,0.999,0.3420141214149048
0.09,0.3492549220598497,-0.16234118578664827,0.34624921446138174,0.436,1.0,0.324250331169204
0.095,0.4332926995535884,0.03627278215701862,0.09438355814141065,0.244,0.9985,0.3405255485203954
0.1,0.534665672902471,0.2336032880061467,-0.11062314474077156,0.0975,0.9025,0.3454465740564041
0.105,0.6010967788880757,0.3592420555689141,-0.23926389049635247,0.0445,0.719,0.33340526689131794
0.11,0.6238152741816682,0.38701250202665927,-0.27481488276628174,0.038,0.6655,0.3260584475171124
0.115,0.6354284505748644,0.3858096159470997,-0.11565120997342368,0.0325,0.6685,0.3297913743882529
0.12,0.6879172445388991,0.49101560843039543,0.35108435043888153,0.0105,0.4215,0.321442063874789
0.125,0.730397182069278,0.5753371174572439,0.6434483534091718,0.001,0.231,0.32077689497283274
0.13,0.6097657222610193,0.3675248931763881,0.59043528354226,0.0405,0.706,0.3299004727811144
0.135,0.44682594350902627,0.2029480317546321,0.3225560090066736,0.1125,0.9325,0.3449311766143243
0.14,0.4121478039819612,0.13238177241629343,0.08265173341142494,0.164,0.972,0.34536232688541985
0.145,0.45557966432475755,0.14919134841552265,-0.06437574367957942,0.1475,0.9675,0.3419944070107798
0.15,0.5001598795401693,0.16771327729047839,-0.10289476077059362,0.1325,0.9585,0.358267529589032
0.155,0.5257927881262866,0.1495323107888703,-0.036686589334269534,0.1475,0.9675,0.3355434720877619
0.16,0.5412450288660354,0.11456766354403294,0.14330517973218812,0.1635,0.9805,0.33283953513723963
0.165,0.5539462327580562,0.13067668550264983,0.38439685501512494,0.155,0.972,0.3287061513102797
0.17,0.5276245383538588,0.15601222890805697,0.508162486906422,0.141,0.9645,0.3491165979220559
0.175,0.4373137818578936,0.10176044747669,0.4258804735721806,0.192,0.984,0.3488246262702191
0.18,0.3452161548228679,0.007130741833749667,0.23765073652432592,0.264,1.0,0.35134959592729254
0.185,0.316247396174873,-0.03614490642324701,0.03632658395059445,0.3085,1.0,0.3509517508355884
0.19,0.3353567645362371,-0.0346802605609556,-0.13377216405660983,0.296,1.0,0.3680725590266818
0.195,0.35625674555077386,-0.05257202905857747,-0.23844001542582705,0.3005,1.0,0.3573351000390799
0.2,0.36325705652190643,-0.09163166397652928,-0.18847321920747387,0.338,1.0,0.332910486907621
0.205,0.36036823756792574,-0.12049515485969915,0.04896732452930335,0.3675,1.0,0.32050510360458023
0.21,0.3504587526606769,-0.09618235743552757,0.3277272858912329,0.36,1.0,0.34270102390662743
0.215,0.3111116484017158,-0.08901449252000791,0.43582375605344464,0.3795,1.0,0.33989077919896077
0.22,0.22255763002732143,-0.4691931076958632,0.3678746327820301,0.804,1.0,0.3609038028941412
0.225,0.13390948194763935,-0.7457708365607341,0.21189029178942242,0.981,1.0,0.3616186637072772
0.23,0.15375320138544035,-0.6884147906207787,0.027217507181151488,0.94,1.0,0.3592508220312479
0.235,0.20990996568390669,-0.36236368731738,-0.12790310212579298,0.649,1.0,0.35688727985612
0.24,0.24004570728440977,-0.27133919336877044,-0.20390549300167932,0.5435,1.0,0.35164773772191893
0.245,0.2420140326713519,-0.3242250131338888,-0.15971721853022045,0.57,1.0,0.3450889589183442
0.25,0.2248736943300336,-0.44161372496347284,-0.002624634129458122,0.6495,1.0,0.34629293057033306
0.255,0.20357763769351325,-0.5624376308307134,0.13612671244681737,0.7995,1.0,0.3742954749092647
0.26,0.1652845368420757,-0.718333980186922,0.11040250877291352,0.9605,1.0,0.395877288750204
0.265,0.11499848516875733,-0.835281664678059,0.006888945818917042,0.995,1.0,0.3848001353237367
