trial_id,sub,run,condition_spl,freq_hz,spl_db,freq_group,n_task,n_hit
s01_r0_t000,s01,0,10,4000,-14.9,2,0,0
s01_r0_t001,s01,0,8,1000,-57.3,1,0,0
s01_r0_t002,s01,0,17,16000,-6.1,3,2,2
s01_r0_t003,s01,0,18,18000,-6.1,3,0,0
s01_r0_t004,s01,0,3,1000,-17.8,1,2,2
s01_r0_t005,s01,0,6,1000,-41.5,1,0,0
s01_r0_t006,s01,0,14,4000,-46.5,2,2,2
s01_r0_t007,s01,0,15,4000,-54.4,2,2,2
s01_r0_t008,s01,0,2,1000,-9.9,1,0,0
s01_r0_t009,s01,0,15,4000,-54.4,2,0,0
s01_r0_t010,s01,0,3,1000,-17.8,1,0,0
s01_r0_t011,s01,0,5,1000,-33.6,1,2,2
s01_r0_t012,s01,0,4,1000,-25.7,1,0,0
s01_r0_t013,s01,0,14,4000,-46.5,2,1,1
s01_r0_t014,s01,0,12,4000,-30.7,2,1,1
s01_r0_t015,s01,0,7,1000,-49.4,1,0,0
s01_r1_t016,s01,1,19,20000,-6.1,3,0,0
s01_r1_t017,s01,1,11,4000,-22.8,2,2,2
s01_r1_t018,s01,1,2,1000,-9.9,1,2,2
s01_r1_t019,s01,1,10,4000,-14.9,2,2,2
s01_r1_t020,s01,1,11,4000,-22.8,2,0,0
s01_r1_t021,s01,1,4,1000,-25.7,1,2,2
s01_r1_t022,s01,1,10,4000,-14.9,2,2,2
s01_r1_t023,s01,1,12,4000,-30.7,2,2,2
s01_r1_t024,s01,1,1,1000,5.9,1,2,2
s01_r1_t025,s01,1,16,4000,-62.3,2,2,2
s01_r1_t026,s01,1,12,4000,-30.7,2,1,1
s01_r1_t027,s01,1,1,1000,5.9,1,1,1
s01_r1_t028,s01,1,18,18000,-6.1,3,2,0
s01_r1_t029,s01,1,3,1000,-17.8,1,0,0
s01_r1_t030,s01,1,15,4000,-54.4,2,0,0
s01_r1_t031,s01,1,19,20000,-6.1,3,2,0
s01_r2_t032,s01,2,19,20000,-6.1,3,0,0
s01_r2_t033,s01,2,8,1000,-57.3,1,2,0
s01_r2_t034,s01,2,15,4000,-54.4,2,0,0
s01_r2_t035,s01,2,1,1000,5.9,1,2,2
s01_r2_t036,s01,2,9,4000,0.9,2,0,0
s01_r2_t037,s01,2,3,1000,-17.8,1,2,2
s01_r2_t038,s01,2,13,4000,-38.6,2,1,1
s01_r2_t039,s01,2,13,4000,-38.6,2,0,0
s01_r2_t040,s01,2,6,1000,-41.5,1,0,0
s01_r2_t041,s01,2,6,1000,-41.5,1,2,2
s01_r2_t042,s01,2,13,4000,-38.6,2,2,2
s01_r2_t043,s01,2,8,1000,-57.3,1,2,1
s01_r2_t044,s01,2,19,20000,-6.1,3,0,0
s01_r2_t045,s01,2,7,1000,-49.4,1,2,2
s01_r2_t046,s01,2,14,4000,-46.5,2,0,0
s01_r2_t047,s01,2,9,4000,0.9,2,2,2
s01_r3_t048,s01,3,2,1000,-9.9,1,2,2
s01_r3_t049,s01,3,4,1000,-25.7,1,0,0
s01_r3_t050,s01,3,7,1000,-49.4,1,2,2
s01_r3_t051,s01,3,9,4000,0.9,2,0,0
s01_r3_t052,s01,3,15,4000,-54.4,2,2,2
s01_r3_t053,s01,3,17,16000,-6.1,3,2,2
s01_r3_t054,s01,3,10,4000,-14.9,2,1,0
s01_r3_t055,s01,3,6,1000,-41.5,1,0,0
s01_r3_t056,s01,3,5,1000,-33.6,1,1,1
s01_r3_t057,s01,3,11,4000,-22.8,2,1,1
s01_r3_t058,s01,3,6,1000,-41.5,1,2,2
s01_r3_t059,s01,3,10,4000,-14.9,2,0,0
s01_r3_t060,s01,3,2,1000,-9.9,1,0,0
s01_r3_t061,s01,3,9,4000,0.9,2,1,1
